vegetation_id,block_id,hazard_condition,status,voltage,h_conductor,x_distance,pole_from,pole_to,longitude,latitude,las_id,F3d_clearance,vegetation_height,floc_id,circuit_name,flight_date
0548300033,,Fall,Fall-in <= -20ft,12KV,30.09,15.87,4467342E,4467343E,-116.9062634,33.90644992,Dysart-GEO1-20210408,-26.26,60.24,ED-05483,DYSART,20210408
0548300034,,Fall,Fall-in <= -20ft,12KV,35.67,28.37,2210843E,2210844E,-116.9240793,33.90365957,Dysart-GEO1-20210408,-26.18,72.38,ED-05483,DYSART,20210408
0548300035,,Fall,Fall-in <= -20ft,12KV,35.04,27.07,2138069E,2138070E,-116.9113787,33.90534614,Dysart-GEO1-20210408,-26.14,70.23,ED-05483,DYSART,20210408
0548300036,,Fall,Fall-in <= -20ft,12KV,34.27,25.22,2138069E,2138070E,-116.9113841,33.90537859,Dysart-GEO1-20210408,-26.06,68.94,ED-05483,DYSART,20210408
0548300037,,Fall,Fall-in <= -20ft,12KV,35.8,36.72,2293466E,2293465E,-116.9082572,33.90577426,Dysart-GEO1-20210408,-26.05,77.49,ED-05483,DYSART,20210408
0548300038,,Fall,Fall-in <= -20ft,12KV,27.28,13.03,2210850E,2210849E,-116.9249578,33.90721452,Dysart-GEO1-20210408,-26.03,54.47,ED-05483,DYSART,20210408
0548300039,,Fall,Fall-in <= -20ft,12KV,33.11,23.38,2210850E,2210849E,-116.9249957,33.90748179,Dysart-GEO1-20210408,-26.02,62.86,ED-05483,DYSART,20210408
0548300040,,Fall,Fall-in <= -20ft,12KV,30.87,12.2,4467342E,4467343E,-116.9062515,33.90642423,Dysart-GEO1-20210408,-25.56,58.61,ED-05483,DYSART,20210408
0548300041,,Fall,Fall-in <= -20ft,12KV,27.51,7.57,2162114E,2138069E,-116.9119847,33.90573007,Dysart-GEO1-20210408,-25.53,54,ED-05483,DYSART,20210408
0548300042,,Fall,Fall-in <= -20ft,12KV,35.48,36.25,2293466E,2293465E,-116.9082588,33.90581167,Dysart-GEO1-20210408,-25.2,76.18,ED-05483,DYSART,20210408
0548300043,,Fall,Fall-in <= -20ft,12KV,36.08,3.14,456036S,2033685E,-116.9161685,33.8937373,Dysart-GEO1-20210408,-25.14,61.88,ED-05483,DYSART,20210408
0548300044,,Fall,Fall-in <= -20ft,12KV,36.81,11.88,456036S,2033685E,-116.9161355,33.89374271,Dysart-GEO1-20210408,-25.1,64.27,ED-05483,DYSART,20210408
0548300045,,Fall,Fall-in <= -20ft,12KV,34.4,19,2210850E,2210849E,-116.9249816,33.90750704,Dysart-GEO1-20210408,-24.98,60.82,ED-05483,DYSART,20210408
0548300046,,Fall,Fall-in <= -20ft,12KV,34.84,23.86,2033686E,2069938E,-116.9161602,33.89298118,Dysart-GEO1-20210408,-24.88,67.6,ED-05483,DYSART,20210408
0548300047,,Fall,Fall-in <= -20ft,12KV,35.22,37.13,2293466E,2293465E,-116.9082561,33.90587387,Dysart-GEO1-20210408,-24.63,75.93,ED-05483,DYSART,20210408
0548300048,,Fall,Fall-in <= -20ft,12KV,44.06,26.5,2293466E,2293465E,-116.9082918,33.90544433,Dysart-GEO1-20210408,-24.47,76.56,ED-05483,DYSART,20210408
0548300049,,Fall,Fall-in <= -20ft,12KV,27.54,21.77,2210850E,2210849E,-116.9249875,33.90728663,Dysart-GEO1-20210408,-24.29,56.99,ED-05483,DYSART,20210408
0548300050,,Fall,Fall-in <= -20ft,12KV,39.07,27.91,2293466E,2293465E,-116.9082864,33.90559172,Dysart-GEO1-20210408,-24.24,72.9,ED-05483,DYSART,20210408
0548300051,,Fall,Fall-in <= -20ft,12KV,35.33,36.67,2293466E,2293465E,-116.9082577,33.90590137,Dysart-GEO1-20210408,-24.15,75.22,ED-05483,DYSART,20210408
0548300052,,Fall,Fall-in <= -20ft,12KV,34.07,12.39,2210852E,2210850E,-116.9249755,33.90769392,Dysart-GEO1-20210408,-23.91,60.53,ED-05483,DYSART,20210408
0548300053,,Fall,Fall-in <= -20ft,12KV,30.22,8.28,2114804E,2114803E,-116.9042281,33.90594816,Dysart-GEO1-20210408,-23.64,54.19,ED-05483,DYSART,20210408
0548300054,,Fall,Fall-in <= -20ft,12KV,30.79,13.86,2210852E,2210850E,-116.9250014,33.9078706,Dysart-GEO1-20210408,-23.64,57.62,ED-05483,DYSART,20210408
0548300055,,Fall,Fall-in <= -20ft,12KV,35.66,16.99,2138069E,2138070E,-116.9114063,33.90564677,Dysart-GEO1-20210408,-23.59,63.53,ED-05483,DYSART,20210408
0548300056,,Fall,Fall-in <= -20ft,12KV,27.47,26.69,2210850E,2210849E,-116.9250032,33.90724562,Dysart-GEO1-20210408,-23.43,59.57,ED-05483,DYSART,20210408
0548300057,,Fall,Fall-in <= -20ft,12KV,28.29,17.69,2138070E,GT124509,-116.9114119,33.90508388,Dysart-GEO1-20210408,-23.17,54.14,ED-05483,DYSART,20210408
0548300058,,Fall,Fall-in <= -20ft,12KV,33.95,25.23,4467342E,4467343E,-116.906292,33.90677759,Dysart-GEO1-20210408,-22.99,63.8,ED-05483,DYSART,20210408
0548300059,,Fall,Fall-in <= -20ft,12KV,35.27,19.69,456036S,2033685E,-116.9161409,33.89377967,Dysart-GEO1-20210408,-22.97,65.36,ED-05483,DYSART,20210408
0548300060,,Fall,Fall-in <= -20ft,12KV,30.27,14.69,2190240E,2190242E,-116.9095729,33.90975551,Dysart-GEO1-20210408,-22.9,58.29,ED-05483,DYSART,20210408
0548300061,,Fall,Fall-in <= -20ft,12KV,33.33,11.17,2210852E,2210850E,-116.9249755,33.90772772,Dysart-GEO1-20210408,-22.86,60.78,ED-05483,DYSART,20210408
0548300062,,Fall,Fall-in <= -20ft,12KV,36.73,29.11,1806217E,10223,-116.9173274,33.90248833,Dysart-GEO1-20210408,-22.71,65.78,ED-05483,DYSART,20210408
0548300063,,Fall,Fall-in <= -20ft,12KV,30.23,16.55,2210843E,2210870E,-116.9233139,33.90362089,Dysart-GEO1-20210408,-22.7,57.33,ED-05483,DYSART,20210408
0548300064,,Fall,Fall-in <= -20ft,12KV,32.35,18.64,4467342E,4467343E,-116.9062698,33.90686503,Dysart-GEO1-20210408,-22.68,59.31,ED-05483,DYSART,20210408
0548300065,,Fall,Fall-in <= -20ft,12KV,34.31,30.26,4467342E,4467343E,-116.9063088,33.90674875,Dysart-GEO1-20210408,-22.67,66.39,ED-05483,DYSART,20210408
0548300066,,Fall,Fall-in <= -20ft,12KV,29.72,26.88,2138070E,GT124509,-116.9113816,33.90509921,Dysart-GEO1-20210408,-22.49,58.16,ED-05483,DYSART,20210408
0548300067,,Fall,Fall-in <= -20ft,12KV,33.32,18.12,2210852E,2210850E,-116.9250014,33.90775251,Dysart-GEO1-20210408,-22.1,64.14,ED-05483,DYSART,20210408
0548300068,,Fall,Fall-in <= -20ft,12KV,40.3,14.21,2138064E,2138063E,-116.9073762,33.9069403,Dysart-GEO1-20210408,-21.96,65.65,ED-05483,DYSART,20210408
0548300069,,Fall,Fall-in <= -20ft,12KV,31.17,24.52,2210852E,2210850E,-116.9250344,33.90785122,Dysart-GEO1-20210408,-21.83,63.74,ED-05483,DYSART,20210408
0548300070,,Fall,Fall-in <= -20ft,12KV,35.3,22.5,2210852E,2210850E,-116.925002,33.90763532,Dysart-GEO1-20210408,-21.72,62,ED-05483,DYSART,20210408
0548300071,,Fall,Fall-in <= -20ft,12KV,29.73,25.89,4467342E,4467343E,-116.9062963,33.90645668,Dysart-GEO1-20210408,-21.45,60.35,ED-05483,DYSART,20210408
0548300072,,Fall,Fall-in <= -20ft,12KV,30.79,22.71,4467342E,4467343E,-116.9062861,33.90642918,Dysart-GEO1-20210408,-21.27,58.97,ED-05483,DYSART,20210408
0548300073,,Fall,Fall-in <= -20ft,12KV,35.59,30.3,2210852E,2210850E,-116.9250252,33.90761369,Dysart-GEO1-20210408,-21.24,65.9,ED-05483,DYSART,20210408
0548300074,,Fall,Fall-in <= -20ft,12KV,36.64,24.95,2210846E,4708858E,-116.9249,33.90454885,Dysart-GEO1-20210408,-21.16,68.85,ED-05483,DYSART,20210408
0548300075,,Fall,Fall-in <= -20ft,12KV,34.78,31.44,2210843E,2210844E,-116.924221,33.90367039,Dysart-GEO1-20210408,-21.1,68.69,ED-05483,DYSART,20210408
0548300076,,Fall,Fall-in <= -20ft,12KV,35.86,20.69,4467341E,2138063E,-116.9073204,33.90692233,Dysart-GEO1-20210408,-21.06,63.91,ED-05483,DYSART,20210408
0548300077,,Fall,Fall-in <= -20ft,12KV,38.98,22.6,2138064E,2138063E,-116.9073556,33.90691731,Dysart-GEO1-20210408,-21.04,67.9,ED-05483,DYSART,20210408
0548300078,,Fall,Fall-in <= -20ft,12KV,45.68,20.57,2293466E,2293465E,-116.9083118,33.90538303,Dysart-GEO1-20210408,-21.02,72.21,ED-05483,DYSART,20210408
0548300079,,Fall,Fall-in <= -20ft,12KV,36.98,27.85,2293466E,2293465E,-116.9082864,33.90569133,Dysart-GEO1-20210408,-21.02,68.16,ED-05483,DYSART,20210408
0548300080,,Fall,Fall-in <= -20ft,12KV,34.5,43.9,2033686E,2069938E,-116.9160905,33.89299786,Dysart-GEO1-20210408,-21.01,78.44,ED-05483,DYSART,20210408
0548300081,,Fall,Fall-in <= -20ft,12KV,31.03,4.78,2210841E,2210842E,-116.9216911,33.90358065,Dysart-GEO1-20210408,-20.98,53.02,ED-05483,DYSART,20210408
0548300082,,Fall,Fall-in <= -20ft,12KV,36.51,28.34,2293466E,2293465E,-116.9082848,33.90572153,Dysart-GEO1-20210408,-20.91,67.43,ED-05483,DYSART,20210408
0548300083,,Fall,Fall-in <= -20ft,12KV,25.37,33.61,4467341E,2138063E,-116.906709,33.90688311,Dysart-GEO1-20210408,-20.71,61.45,ED-05483,DYSART,20210408
0548300084,,Fall,Fall-in <= -20ft,12KV,33.89,19.01,2210858E,2210857E,-116.9281549,33.91208794,Dysart-GEO1-20210408,-20.69,58.04,ED-05483,DYSART,20210408
0548300085,,Fall,Fall-in <= -20ft,12KV,38.95,33.43,2138064E,2138063E,-116.9073551,33.90688756,Dysart-GEO1-20210408,-20.61,74.94,ED-05483,DYSART,20210408
0548300086,,Fall,Fall-in <= -20ft,12KV,27.78,24.08,2210850E,2210849E,-116.9249935,33.90715367,Dysart-GEO1-20210408,-20.5,55.29,ED-05483,DYSART,20210408
0548300087,,Fall,Fall-in <= -20ft,12KV,39.84,24.17,2293466E,2293465E,-116.9082988,33.90556422,Dysart-GEO1-20210408,-20.48,67.65,ED-05483,DYSART,20210408
0548300088,,Fall,Fall-in <= -20ft,12KV,35.65,27.52,2138069E,2138070E,-116.9113717,33.90564091,Dysart-GEO1-20210408,-20.44,65.87,ED-05483,DYSART,20210408
0548300089,,Fall,Fall-in <= -20ft,12KV,37.68,32.17,4467344E,4332295E,-116.9063875,33.90467859,Dysart-GEO1-20210408,-20.4,69.49,ED-05483,DYSART,20210408
0548300090,,Fall,Fall-in <= -20ft,12KV,37.74,26.67,1806208E,1806207E,-116.9132038,33.90006481,Dysart-GEO1-20210408,-20.21,64.39,ED-05483,DYSART,20210408
0548300091,,Fall,Fall-in <= -20ft,12KV,37.23,16.17,456036S,2033685E,-116.9161047,33.89373189,Dysart-GEO1-20210408,-20.15,60.82,ED-05483,DYSART,20210408
0548300092,,Fall,Fall-in <= -20ft,12KV,31.73,12.75,2210850E,2210849E,-116.92496,33.90744033,Dysart-GEO1-20210408,-20.13,52.02,ED-05483,DYSART,20210408
0548300093,,Fall,Fall-in <= -20ft,12KV,29.17,20.42,2210858E,2210857E,-116.92797,33.91194867,Dysart-GEO1-20210408,-20.09,51.98,ED-05483,DYSART,20210408
0548300094,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,37.69,24.6,1806208E,1806207E,-116.9131952,33.90003597,Dysart-GEO1-20210408,-19.94,62.91,ED-05483,DYSART,20210408
0548300095,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,34.56,23.89,2210843E,2210844E,-116.9243793,33.90365236,Dysart-GEO1-20210408,-19.91,62.42,ED-05483,DYSART,20210408
0548300096,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,34.47,34.49,2138069E,2138070E,-116.9113539,33.90536462,Dysart-GEO1-20210408,-19.71,68.97,ED-05483,DYSART,20210408
0548300097,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,32.19,15.58,4467342E,4467343E,-116.9062628,33.90639808,Dysart-GEO1-20210408,-19.69,55.19,ED-05483,DYSART,20210408
0548300098,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,26.03,11.04,4467341E,2138063E,-116.9067377,33.90694531,Dysart-GEO1-20210408,-19.68,46.37,ED-05483,DYSART,20210408
0548300099,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,36.53,5.69,2138069E,2138070E,-116.9114431,33.90567832,Dysart-GEO1-20210408,-19.54,56.23,ED-05483,DYSART,20210408
0548300100,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,27.61,33.21,2210850E,2210849E,-116.9250238,33.90716809,Dysart-GEO1-20210408,-19.52,60.88,ED-05483,DYSART,20210408
