VEG_ID,LONGITUDE,LATITUDE,ELEV,HEIGHT,AVG_SPREAD,MAX_SPREAD,TREE_SPECIES,LAST_TRIMMED
319,-117.928235,33.80535759,157.93,32.62,17.72,19.69,Queen palm,9/11/21
320,-117.928051,33.80535992,152.83,25.99,18.37,19.03,Mexican fan palm,9/11/21
321,-117.915171,33.80552859,177.97,44.17,17.06,19.03,Western sycamore,9/11/21
322,-117.915284,33.80551291,183.94,49.64,18.04,19.03,California palm,9/11/21
323,-117.915984,33.80549994,162.71,28.29,18.37,19.03,Queen palm,9/11/21
324,-117.915610,33.80549764,163.47,28.07,18.04,19.03,Mexican fan palm,9/11/21
325,-117.928132,33.80532679,157.69,31.22,18.37,19.03,Carrotwood,9/11/21
326,-117.916013,33.80548928,164.59,29.92,19.03,43.31,Dwarf fig tree,9/11/21
327,-117.915541,33.80548739,187.93,53.08,22.64,47.24,Western sycamore,9/11/21
328,-117.915700,33.8054745,158.76,23.23,18.37,19.36,Western sycamore,9/11/21
329,-117.928037,33.80529593,150.67,23.82,18.04,23.29,California palm,9/11/21
330,-117.928131,33.80529124,157.75,31.33,18.37,19.03,Queen palm,9/11/21
331,-117.928306,33.80527716,157.84,32.2,18.37,20.34,Mexican fan palm,9/11/21
332,-117.915957,33.80543925,168.16,33.72,18.37,19.03,Carrotwood,9/11/21
333,-117.915540,33.80543404,190.9,56.1,18.37,19.03,Dwarf fig tree,9/11/21
334,-117.915295,33.80543717,186.75,52.44,18.37,19.03,Western sycamore,9/11/21
335,-117.915489,33.80543094,177.53,43.23,18.37,19.03,Western sycamore,9/11/21
336,-117.928126,33.80525122,158.79,32.36,18.37,19.03,California palm,9/11/21
337,-117.915192,33.80542418,178.33,44.59,16.4,19.03,Queen palm,9/11/21
338,-117.928336,33.805245,158.79,33.3,18.37,19.03,Mexican fan palm,9/11/21
339,-117.915339,33.80541569,186.59,52.24,18.37,20.01,Carrotwood,9/11/21
340,-117.915312,33.80540871,186.5,52.27,18.37,19.03,Dwarf fig tree,9/11/21
341,-117.928491,33.80522143,159.51,33.48,18.7,21.98,Western sycamore,9/11/21
342,-117.915702,33.80538511,159.43,24.01,18.37,19.03,Western sycamore,9/11/21
343,-117.928323,33.80521278,160.07,34.56,18.37,19.03,California palm,9/11/21
