LONGITUDE,LATITUDE,ELEV,HEIGHT,AVG_SPREAD,MAX_SPREAD
-118.3703114,33.9728477,129.81,22.69,16.73,17.39
-118.3704269,33.9726253,130.88,23.85,16.73,17.06
-118.3695584,33.97262061,123.29,24.22,15.75,17.39
-118.370537,33.97261445,135.56,27.95,16.08,17.06
-118.3696139,33.97258821,125.35,24.11,16.40,17.39
-118.369896,33.9725809,131.25,30.88,16.73,17.39
-118.3696482,33.97255826,122.05,20.86,16.73,17.39
-118.3697858,33.97254882,127.42,22.33,14.11,15.42
-118.3696833,33.97252877,126.21,23.57,16.73,17.39
-118.3696402,33.97253014,119.00,19.70,17.39,23.95
-118.3703754,33.97250358,139.02,34.87,16.73,18.37
-118.3696119,33.97247942,114.54,17.75,15.42,17.06
-118.3704113,33.9724542,135.01,33.38,16.40,18.04
-118.3697848,33.97241037,126.01,33.13,17.06,18.37
-118.3698087,33.97238431,127.47,35.17,16.73,18.37
-118.3697416,33.97237814,122.03,27.71,17.72,26.25
-118.3698439,33.97234775,127.34,35.15,16.73,17.39
-118.3699026,33.9723441,134.18,41.72,16.73,17.39
-118.3697577,33.97234142,118.06,26.09,16.08,18.04
-118.3697143,33.97233203,119.07,27.36,17.06,18.70
-118.3703599,33.97232659,116.03,17.14,16.08,17.39
-118.369679,33.97231328,115.01,23.23,16.08,20.01
-118.3699506,33.97229162,130.87,35.54,15.75,17.72
-118.3698126,33.97227983,135.10,43.05,16.40,17.39
-118.3703623,33.97226753,116.33,18.57,16.73,20.34
-118.3698391,33.97226605,137.66,45.68,16.73,17.39
-118.370319,33.97225138,114.78,17.95,15.75,16.73
-118.3703623,33.97224202,115.91,18.74,16.73,17.39
-118.3697567,33.97222038,112.19,20.70,16.08,17.06
-118.3703557,33.97221245,113.94,17.18,16.08,18.04
-118.3698517,33.97221388,141.40,49.94,16.73,17.39
-118.3697637,33.97213221,131.57,44.07,17.06,19.03
-118.3703538,33.97211134,111.38,16.55,18.37,26.57
-118.3696658,33.97210261,102.72,17.30,17.06,18.37
-118.3698827,33.97208255,115.14,27.20,16.73,17.39
-118.3699491,33.97207255,112.91,22.40,14.76,16.08
-118.3702832,33.97206141,119.19,25.45,17.06,21.00
-118.3698429,33.97206036,116.36,29.46,15.09,16.08
-118.3696463,33.97205013,110.61,26.49,14.76,17.72
-118.3703418,33.97203818,124.22,30.31,16.73,17.39
-118.3702561,33.97202883,123.56,30.26,16.08,17.39
-118.3704094,33.97200538,113.65,16.69,15.75,17.39
-118.3702594,33.97197293,126.04,33.67,16.73,17.39
-118.370259,33.97193699,124.46,32.57,16.73,18.37
-118.3703302,33.97192088,139.48,47.27,16.73,17.72
-118.3697479,33.9718471,112.93,26.36,14.44,15.75
-118.369638,33.97183392,106.51,23.79,15.75,16.73
-118.369972,33.97181322,128.12,38.68,16.73,17.39
-118.3699163,33.97178839,160.47,71.02,16.73,17.39
-118.3699588,33.97176107,162.84,73.43,16.73,17.39
-118.3697825,33.971722,129.00,46.42,17.06,17.72
-118.3703251,33.97171386,109.76,21.14,16.73,18.37
-118.3696514,33.97166332,107.75,25.67,16.73,17.39
-118.3699272,33.97162305,100.34,17.79,16.40,17.39
-118.3703052,33.97158924,118.12,31.98,16.73,17.39
-118.3700181,33.97158063,117.23,33.01,16.73,17.39
-118.3704371,33.97147788,108.48,19.54,16.08,17.39
-118.3699575,33.97138725,133.11,50.56,16.73,18.04
-118.3699896,33.97135754,134.22,51.29,16.73,17.39
-118.36978,33.9713353,123.80,45.34,17.06,18.04
-118.3699501,33.97131848,152.68,70.46,16.40,17.39
-118.370393,33.97129398,103.74,18.06,15.75,18.04
-118.3702997,33.97129096,109.97,28.16,16.73,17.39
-118.3699383,33.97128937,151.73,69.98,17.72,23.62
-118.3697928,33.97126759,101.98,24.16,14.44,15.75
-118.3699144,33.97123973,150.20,70.84,16.73,17.39
-118.3703975,33.97123186,101.92,16.92,16.08,17.39
-118.369961,33.97123005,147.97,67.90,16.73,17.39
-118.370287,33.9711437,108.73,28.24,16.40,19.36
-118.3697204,33.97111933,103.68,21.73,14.76,16.73
-118.3696888,33.97107348,109.42,24.99,17.06,18.70
-118.3695551,33.9710582,111.37,17.55,14.44,16.08
-118.3697243,33.97104724,110.10,26.98,18.37,35.10
-118.3696567,33.97103125,117.85,28.02,16.73,18.04
-118.3697517,33.9710175,101.77,18.73,15.75,17.39
-118.3695908,33.97101158,118.18,23.01,17.06,18.37
-118.3695659,33.97098888,120.49,22.21,16.73,18.37
-118.3695931,33.97096598,120.28,20.72,16.08,17.06
-118.3703758,33.97077286,100.22,19.70,16.40,17.39
-118.369734,33.97076212,124.59,32.63,16.40,17.39
-118.3703018,33.97073402,105.23,26.23,15.42,16.08
-118.3697342,33.97072256,131.34,39.73,16.40,18.37
-118.369738,33.97058192,111.67,19.85,16.73,17.39
-118.3703002,33.97057634,105.62,26.10,16.73,17.39
-118.3703074,33.97054144,111.64,31.88,15.42,16.08
-118.3697294,33.97053257,109.23,16.58,16.73,17.39
-118.3695603,33.97051977,128.75,29.81,16.08,19.36
-118.3695565,33.97049739,127.88,28.82,17.06,23.95
